ALMCOD,MEDCOD,STKSALDO,STKPRECIO,STKFECHULT,FLG_SOCKET
06162F0102,00946,0,1.0,2020-12-31 15:26:54,
06162F0102,25146,141,0.07,2020-12-31 15:26:54,
06162F0102,03964,0,0.011274,2020-12-31 15:26:54,
06162F0101,00143,332,0.21243,2021-11-25 00:00:00,
06162F0101,00091,0,0.022612,2021-02-27 00:00:00,
06162F0101,00356,57,0.16,2020-12-31 15:27:03,
06162F0101,03513,520,0.146147,2021-02-27 00:00:00,
06162F0101,36412,5,6.532552,2021-07-30 00:00:00,
06162F0101,36413,15,7.25,2020-12-31 15:27:03,
06162F0101,08008,100,0.097876,2021-12-22 00:00:00,
06162F0101,15047,0,0.42,2020-12-31 15:27:03,
06162F0101,10148,546,0.11,2020-12-31 15:27:03,
06162F0101,10151,1613,0.1,2020-12-31 15:27:03,
06162F0101,10155,3594,0.087866,2021-11-25 00:00:00,
06162F0101,10158,228,0.093579,2021-10-26 00:00:00,
06162F0101,00259,25,1.298262,2021-12-22 00:00:00,
06162F0101,00269,0,0.16,2020-12-31 15:27:03,
06162F0101,10222,2,1.06,2020-12-31 15:27:03,
06162F0101,35125,99,10.6875,2021-12-18 00:00:00,
06162F0101,10230,3,6.5,2020-12-31 15:27:03,
06162F0101,10246,30,1.355786,2021-07-30 00:00:00,
06162F0101,10249,62,10.983333,2021-02-27 00:00:00,
06162F0101,00393,790,0.016454,2021-12-28 00:00:00,
06162F0101,18091,89,2.36817,2021-10-26 00:00:00,
06162F0101,00627,60,1.024537,2021-10-26 00:00:00,
06162F0101,00671,0,0.075614,2021-02-27 00:00:00,
06162F0101,00673,140,0.05625,2021-09-25 00:00:00,
06162F0101,00725,10,3.9375,2021-12-22 00:00:00,
06162F0101,00750,3955,0.320153,2021-12-22 00:00:00,
06162F0101,00794,15,1.76808,2021-12-22 00:00:00,
06162F0101,00808,0,0.1299,2021-08-27 00:00:00,
06162F0101,18155,0,0.9,2020-12-31 15:27:03,
06162F0101,00900,210,0.064436,2021-07-30 00:00:00,
06162F0101,00903,0,0.049387,2021-09-25 00:00:00,
06162F0101,00910,295,0.315,2021-12-22 00:00:00,
06162F0101,00939,5,4.2,2020-12-31 15:27:03,
06162F0101,00946,561,1.0,2020-12-31 15:27:03,
06162F0101,00947,851,0.438674,2021-12-22 00:00:00,
06162F0101,01009,5,8.38856,2021-11-25 00:00:00,
06162F0101,18291,0,0.7,2020-12-31 15:27:03,
06162F0101,18153,0,0.8,2020-12-31 15:27:03,
06162F0101,18048,0,1.43,2020-12-31 15:27:03,
06162F0101,01053,61,2.224012,2021-10-26 00:00:00,
06162F0101,01205,33,0.904601,2021-10-26 00:00:00,
06162F0101,01256,42,6.1875,2021-10-26 00:00:00,
06162F0101,10355,7,0.48,2020-12-31 15:27:03,
06162F0101,10363,4,4.13,2020-12-31 15:27:03,
06162F0101,35515,0,0.675,2021-10-13 00:00:00,
06162F0101,15288,1,0.27,2020-12-31 15:27:03,
06162F0101,15287,1,0.27,2020-12-31 15:27:03,
06162F0101,01378,35,2.4,2020-12-31 15:27:03,
06162F0101,24334,0,7.88,2020-12-31 15:27:03,
06162F0101,29817,200,7.0875,2021-12-22 00:00:00,
06162F0101,01503,180,0.112499,2021-09-25 00:00:00,
06162F0101,15334,45,4.88,2020-12-31 15:27:03,
06162F0101,15336,4,2.66,2020-12-31 15:27:03,
06162F0101,10419,20,1.38,2020-12-31 15:27:03,
06162F0101,01522,2803,0.027596,2021-10-26 00:00:00,
06162F0101,19421,16,0.63,2021-11-25 00:00:00,
06162F0101,22256,226,0.632341,2021-11-25 00:00:00,
06162F0101,10477,214,3.16609,2021-11-25 00:00:00,
06162F0101,10482,178,0.630048,2021-11-25 00:00:00,
06162F0101,01628,0,3.248212,2021-07-30 00:00:00,
06162F0101,18156,12,1.29654,2021-09-25 00:00:00,
06162F0101,18158,10,1.125646,2021-08-21 00:00:00,
06162F0101,01705,0,17.425,2021-02-27 00:00:00,
06162F0101,01711,530,0.765191,2021-10-26 00:00:00,
06162F0101,01846,4000,0.130734,2021-12-28 00:00:00,
06162F0101,01925,0,9.8,2020-12-31 15:27:03,
06162F0101,01930,48,0.75,2020-12-31 15:27:03,
06162F0101,01964,891,0.277852,2021-10-26 00:00:00,
06162F0101,01958,13,1.25,2021-04-30 00:00:00,
06162F0101,01973,1,1.08,2021-09-25 00:00:00,
06162F0101,02128,505,0.119118,2021-11-25 00:00:00,
06162F0101,02132,15,1.121948,2021-12-22 00:00:00,
06162F0101,02149,3434,0.018147,2021-11-25 00:00:00,
06162F0101,31592,0,57.5,2020-12-31 15:27:03,
06162F0101,02319,246,0.967485,2021-11-25 00:00:00,
06162F0101,28800,15,12.5,2020-12-31 15:27:03,
06162F0101,19677,10,6.75,2020-12-31 15:27:03,
06162F0101,29804,1,87.5,2020-12-31 15:27:03,
06162F0101,02657,53,0.351284,2021-07-30 00:00:00,
06162F0101,02654,85,0.03,2020-12-31 15:27:03,
06162F0101,02642,520,0.132507,2021-12-22 00:00:00,
06162F0101,02641,0,0.31,2020-12-31 15:27:03,
06162F0101,02724,550,1.440256,2021-11-29 00:00:00,
06162F0101,03783,12,3.0,2020-12-31 15:27:03,
06162F0101,03787,0,0.451236,2021-12-18 00:00:00,
06162F0101,03789,6,3.426109,2021-02-27 00:00:00,
06162F0101,02754,56,0.10125,2021-09-25 00:00:00,
06162F0101,02752,53,0.374194,2021-07-30 00:00:00,
06162F0101,02788,3127,0.124087,2021-11-25 00:00:00,
06162F0101,02826,11,6.0,2020-12-31 15:27:03,
06162F0101,02830,16,2.910262,2021-08-21 00:00:00,
06162F0101,02836,8384,0.23,2021-11-25 00:00:00,
06162F0101,02884,902,0.900003,2021-12-22 00:00:00,
06162F0101,02891,2896,0.078825,2021-11-29 00:00:00,
06162F0101,02954,54,0.342031,2021-02-27 00:00:00,
06162F0101,03010,0,5.73,2020-12-31 15:27:03,
06162F0101,03018,314,0.085798,2021-11-25 00:00:00,
06162F0101,03078,330,0.031199,2021-12-28 00:00:00,
06162F0101,03080,800,0.038643,2021-12-28 00:00:00,
06162F0101,22405,92,0.19,2020-12-31 15:27:03,
06162F0101,03097,86,0.381982,2021-02-27 00:00:00,
06162F0101,10929,502,1.103451,2021-11-25 00:00:00,
06162F0101,28395,34,2.4105,2021-12-22 00:00:00,
06162F0101,03182,8,3.398675,2021-09-25 00:00:00,
06162F0101,03191,0,0.419791,2021-09-25 00:00:00,
06162F0101,03215,1478,0.319398,2021-11-25 00:00:00,
06162F0101,03213,1264,0.689109,2021-11-25 00:00:00,
06162F0101,25122,0,2.3625,2021-03-26 00:00:00,
06162F0101,03552,510,0.08,2020-12-31 15:27:03,
06162F0101,03519,20,1.776375,2021-09-21 00:00:00,
06162F0101,03576,1,0.386667,2021-04-30 00:00:00,
06162F0101,03595,105,0.277699,2021-07-30 00:00:00,
06162F0101,24068,40,0.5625,2021-10-26 00:00:00,
06162F0101,24276,36,0.66375,2021-10-26 00:00:00,
06162F0101,03708,163,0.064184,2021-09-25 00:00:00,
06162F0101,03703,5,3.2,2020-12-31 15:27:03,
06162F0101,03710,3,0.170939,2021-09-25 00:00:00,
06162F0101,03713,351,0.03417,2021-03-26 00:00:00,
06162F0101,39096,0,1.6,2020-12-31 15:27:03,
06162F0101,29405,0,2.0,2020-12-31 15:27:03,
06162F0101,26412,0,2.75,2020-12-31 15:27:03,
06162F0101,19918,500,1.0,2020-12-31 15:27:03,
06162F0101,30498,59,28.680723,2021-02-27 00:00:00,
06162F0101,03751,92,0.325927,2021-12-22 00:00:00,
06162F0101,03747,247,0.328785,2021-11-25 00:00:00,
06162F0101,03758,320,0.04723,2021-12-18 00:00:00,
06162F0101,11192,3222,0.4,2021-12-18 00:00:00,
06162F0101,41485,0,1.25,2020-12-31 15:27:03,
06162F0101,41488,0,1.25,2020-12-31 15:27:03,
06162F0101,23112,4600,0.731323,2021-12-18 00:00:00,
06162F0101,25008,0,0.160313,2021-02-27 00:00:00,
06162F0101,16569,201,1.110448,2021-02-27 00:00:00,
06162F0101,16570,1716,0.832984,2021-12-18 00:00:00,
06162F0101,16571,995,0.750035,2021-12-28 00:00:00,
06162F0101,16572,619,1.016337,2021-12-18 00:00:00,
06162F0101,03894,6,10.12,2021-07-30 00:00:00,
06162F0101,03921,140,0.03,2021-12-28 00:00:00,
06162F0101,03944,14,4.395509,2021-10-26 00:00:00,
06162F0101,26362,13,2.771186,2021-07-30 00:00:00,
06162F0101,16597,0,0.27,2020-12-31 15:27:03,
06162F0101,16599,124,0.245236,2021-10-26 00:00:00,
06162F0101,16602,2,0.236841,2021-11-25 00:00:00,
06162F0101,04024,0,0.8,2020-12-31 15:27:03,
06162F0101,04034,7542,0.0689,2021-11-25 00:00:00,
06162F0101,18057,90,7.98051,2021-06-23 00:00:00,
06162F0101,11338,11,36.25,2020-12-31 15:27:03,
06162F0101,36271,151,0.879782,2021-03-03 00:00:00,
06162F0101,16656,1199,0.2,2020-12-31 15:27:03,
06162F0101,11368,4359,0.232748,2021-11-25 00:00:00,
06162F0101,11369,1190,0.34,2021-12-22 00:00:00,
06162F0101,16657,548,0.15,2020-12-31 15:27:03,
06162F0101,17563,151,0.145,2021-03-31 00:00:00,
06162F0101,11370,1764,0.191526,2021-11-25 00:00:00,
06162F0101,04291,21,8.29521,2021-12-28 00:00:00,
06162F0101,41694,200,0.58,2020-12-31 15:27:03,
06162F0101,26631,23,14.13,2020-12-31 15:27:03,
06162F0101,23438,10,1.125,2021-09-25 00:00:00,
06162F0101,04415,11,1.971053,2021-10-26 00:00:00,
06162F0101,04390,253,1.047164,2021-12-22 00:00:00,
06162F0101,20361,5,2.216136,2021-09-25 00:00:00,
06162F0101,04514,0,0.0315,2021-10-26 00:00:00,
06162F0101,04523,110,0.10125,2021-11-25 00:00:00,
06162F0101,04556,6,2.41875,2021-12-18 00:00:00,
06162F0101,35343,130,11.25,2021-10-18 00:00:00,
06162F0101,29965,0,11.25,2020-12-31 15:27:03,
06162F0101,19491,0,21.88,2020-12-31 15:27:03,
06162F0101,19492,960,13.3875,2021-12-22 00:00:00,
06162F0101,36965,0,12.5,2020-12-31 15:27:03,
06162F0101,31907,21,4.44,2020-12-31 15:27:03,
06162F0101,16766,1,4.24,2020-12-31 15:27:03,
06162F0101,16767,12,6.07,2020-12-31 15:27:03,
06162F0101,16774,343,5.25,2020-12-31 15:27:03,
06162F0101,16776,71,2.8,2020-12-31 15:27:03,
06162F0101,11464,24,4.62,2020-12-31 15:27:03,
06162F0101,19030,0,7.43,2020-12-31 15:27:03,
06162F0101,23127,3421,1.70051,2021-12-18 00:00:00,
06162F0101,29849,450,8.4375,2021-12-18 00:00:00,
06162F0101,04585,70,0.08581,2021-09-25 00:00:00,
06162F0101,04582,0,1.515789,2021-02-27 00:00:00,
06162F0101,04677,2916,0.163889,2021-12-22 00:00:00,
06162F0101,04696,1780,0.07875,2021-12-18 00:00:00,
06162F0101,04752,0,0.068906,2021-05-25 00:00:00,
06162F0101,04743,0,0.229229,2021-04-30 00:00:00,
06162F0101,04794,13,3.5,2020-12-31 15:27:03,
06162F0101,04805,576,0.062887,2021-10-26 00:00:00,
06162F0101,18511,3,5.88,2020-12-31 15:27:03,
06162F0101,04847,0,1.62,2020-12-31 15:27:03,
06162F0101,04922,0,13.0,2020-12-31 15:27:03,
06162F0101,04982,3466,0.190125,2021-11-25 00:00:00,
06162F0101,05021,50,0.765,2021-07-30 00:00:00,
06162F0101,05018,30,0.979305,2021-09-21 00:00:00,
06162F0101,05103,132,0.158869,2021-10-26 00:00:00,
06162F0101,35040,169,0.073707,2021-09-25 00:00:00,
06162F0101,05166,30,1.29375,2021-09-25 00:00:00,
06162F0101,08140,0,15.0,2020-12-31 15:27:03,
06162F0101,43866,0,24.88,2020-12-31 15:27:03,
06162F0101,30587,0,6.23,2020-12-31 15:27:03,
06162F0101,05281,0,1.0,2020-12-31 15:27:03,
06162F0101,05285,14,1.96875,2021-05-25 00:00:00,
06162F0101,05309,15,1.415227,2021-10-26 00:00:00,
06162F0101,05335,9957,0.038928,2021-11-25 00:00:00,
06162F0101,05384,7,9.932727,2021-07-30 00:00:00,
06162F0101,05588,611,0.129766,2021-11-29 00:00:00,
06162F0101,05589,190,0.05,2020-12-31 15:27:03,
06162F0101,05586,0,5.5,2020-12-31 15:27:03,
06162F0101,05590,381,0.19269,2021-09-21 00:00:00,
06162F0101,05634,0,0.11,2020-12-31 15:27:03,
06162F0101,30142,0,17.25,2020-12-31 15:27:03,
06162F0101,43879,0,28.75,2020-12-31 15:27:03,
06162F0101,05658,995,0.151885,2021-11-25 00:00:00,
06162F0101,05661,626,0.076428,2021-11-25 00:00:00,
06162F0101,05731,98,4.291305,2021-12-22 00:00:00,
06162F0101,19723,0,3.26,2021-09-25 00:00:00,
06162F0101,20036,185,1.09125,2021-11-25 00:00:00,
06162F0101,02922,42,2.3625,2021-12-28 00:00:00,
06162F0101,05889,3,0.337237,2021-12-18 00:00:00,
06162F0101,05873,169,2.252802,2021-11-25 00:00:00,
06162F0101,05872,0,0.6,2020-12-31 15:27:03,
06162F0101,05884,0,2.747857,2021-07-30 00:00:00,
06162F0101,05598,74,3.2,2020-12-31 15:27:03,
06162F0101,11849,2,1.37,2020-12-31 15:27:03,
06162F0101,11850,16,1.1,2020-12-31 15:27:03,
06162F0101,11861,2,1.18,2020-12-31 15:27:03,
06162F0101,17074,25,2.0,2020-12-31 15:27:03,
06162F0101,17075,11,1.97,2020-12-31 15:27:03,
06162F0101,17071,45,2.0,2020-12-31 15:27:03,
06162F0101,17029,6,2.172222,2021-03-26 00:00:00,
06162F0101,17030,9,2.3,2020-12-31 15:27:03,
06162F0101,17083,99,0.9,2020-12-31 15:27:03,
06162F0101,08172,5,84.96,2021-04-05 00:00:00,
06162F0101,05964,73,3.822941,2021-11-25 00:00:00,
06162F0101,05986,11,1.098206,2021-05-25 00:00:00,
06162F0101,06002,100,0.072,2021-10-26 00:00:00,
06162F0101,03515,1425,0.14553,2021-12-22 00:00:00,
06162F0101,43898,0,2.2,2020-12-31 15:27:03,
06162F0101,18886,0,3.13,2020-12-31 15:27:03,
06162F0101,12024,0,3.13,2020-12-31 15:27:03,
06162F0101,12030,0,3.13,2020-12-31 15:27:03,
06162F0101,12403,66,2.822931,2021-11-25 00:00:00,
06162F0101,12417,32,3.31875,2021-11-25 00:00:00,
06162F0101,18694,20,3.348,2021-10-26 00:00:00,
06162F0101,12427,110,2.941565,2021-11-25 00:00:00,
06162F0101,18698,56,2.87,2020-12-31 15:27:03,
06162F0101,12490,0,2.246961,2021-02-27 00:00:00,
06162F0101,12491,1,2.103854,2021-08-21 00:00:00,
06162F0101,06239,0,0.376113,2021-07-30 00:00:00,
06162F0101,06291,3,6.2,2020-12-31 15:27:03,
06162F0101,22775,1,5.13,2020-12-31 15:27:03,
06162F0101,22365,1,5.13,2020-12-31 15:27:03,
06162F0101,22252,1,5.13,2020-12-31 15:27:03,
06162F0101,12703,2,4.0,2020-12-31 15:27:03,
06162F0101,24090,0,49.363807,2020-12-31 15:27:03,
06162F0101,06432,20,4.544039,2021-02-01 00:00:00,
06162F0101,12805,0,1.21,2020-12-31 15:27:03,
06162F0101,12806,0,1.42,2021-03-26 00:00:00,
06162F0101,12808,0,2.08,2020-12-31 15:27:03,
06162F0101,06519,2,2.2,2020-12-31 15:27:03,
06162F0101,05253,5,0.38,2021-12-08 00:00:00,
06162F0101,45236,0,85.800828,2021-03-24 00:00:00,
06162F0101,32864,8,72.0,2021-06-23 00:00:00,
06162F0101,19166,2,42.75,2021-12-18 00:00:00,
06162F0101,45221,2800,32.55,2021-12-18 00:00:00,
06162F0101,05856,0,0.68796,2021-02-27 00:00:00,
06162F0101,06517,2,15.75,2021-02-27 00:00:00,
06162F0101,23370,109,81.0,2021-04-16 00:00:00,
06162F0101,06111,6,6.07,2021-02-27 00:00:00,
06162F0101,38955,0,12.08025,2021-07-30 00:00:00,
06162F0101,43121,4,146.25,2021-06-23 00:00:00,
06162F0101,43815,0,15.525,2021-02-27 00:00:00,
06162F0101,45939,0,5.625,2021-07-30 00:00:00,
06162F0101,00904,490,0.077625,2021-11-25 00:00:00,
06162F0101,01467,0,0.88641,2021-02-27 00:00:00,
06162F0101,05551,13,0.249575,2021-09-25 00:00:00,
06162F0101,16737,5,0.54,2021-06-23 00:00:00,
06162F0101,30003,0,8.4375,2021-03-10 00:00:00,
06162F0101,28250,1,65.8125,2021-03-24 00:00:00,
06162F0101,08054,20,0.15001,2021-03-24 00:00:00,
06162F0101,22211,2,107.7294,2021-03-24 00:00:00,
06162F0101,38680,3,2.25,2021-03-24 00:00:00,
06162F0101,44390,0,11.72,2021-09-21 00:00:00,
06162F0101,13006,112,38.3659,2021-03-31 00:00:00,
06162F0101,30147,112,0.01,2021-03-31 00:00:00,
06162F0101,22713,212,9.7425,2021-06-24 00:00:00,
06162F0101,17705,30,1.569,2021-06-23 00:00:00,
06162F0101,37326,0,0.225,2021-08-27 00:00:00,
06162F0101,10299,0,4.05,2021-07-30 00:00:00,
06162F0101,16310,200,0.43875,2021-07-30 00:00:00,
06162F0101,18512,250,0.57,2021-07-30 00:00:00,
06162F0101,19724,7,21.375,2021-07-30 00:00:00,
06162F0101,26869,5,21.375,2021-07-30 00:00:00,
06162F0101,27731,0,81.0,2021-07-30 00:00:00,
06162F0101,31335,40,9.0,2021-07-30 00:00:00,
06162F0101,36691,85,5.06,2021-07-30 00:00:00,
06162F0101,37467,100,6.84,2021-07-30 00:00:00,
06162F0101,01043,102,0.495,2021-11-25 00:00:00,
06162F0101,25009,1200,0.73125,2021-08-27 00:00:00,
06162F0101,47270,125,4.28,2021-08-27 00:00:00,
06162F0101,26750,200,7.00875,2021-08-27 00:00:00,
06162F0101,01029,299,0.36225,2021-11-25 00:00:00,
06162F0101,02354,35,0.390485,2021-09-25 00:00:00,
06162F0101,04511,5,1.141762,2021-09-25 00:00:00,
,,0,0.0,2021-10-13 16:25:03.999000,
06162F0101,11198,0,54.495,2021-10-29 00:00:00,
06162F0101,23113,1,60.0,2021-11-04 11:58:01,
06162F0101,47028,34,7.73,2021-11-12 00:00:00,
06162F0101,12795,25,5.0625,2021-12-22 00:00:00,
06162F0101,01684,187,0.765,2021-12-28 00:00:00,
06162F0101,00143,352,0.152332,2022-12-28 00:00:00,
06162F0101,00356,160,0.142918,2022-10-24 00:00:00,
06162F0101,03513,260,0.15,2021-12-31 10:31:42,
06162F0101,36412,18,6.525,2022-10-24 00:00:00,
06162F0101,36413,16,6.279025,2022-12-21 00:00:00,
06162F0101,08008,347,0.24,2022-12-26 00:00:00,
06162F0101,10148,245,0.105566,2022-10-24 00:00:00,
06162F0101,10151,1604,0.083933,2022-12-21 00:00:00,
06162F0101,10155,3134,0.083641,2022-12-21 00:00:00,
06162F0101,10158,225,0.087486,2022-12-21 00:00:00,
06162F0101,00259,19,1.298262,2022-09-23 00:00:00,
06162F0101,10222,0,1.06,2021-12-31 10:31:42,
06162F0101,35125,0,9.854205,2022-05-17 00:00:00,
06162F0101,10230,0,7.185,2022-05-26 00:00:00,
06162F0101,10246,7,1.3609,2022-09-23 00:00:00,
06162F0101,10249,90,14.196038,2022-05-31 00:00:00,
06162F0101,00393,228,0.029,2022-12-21 00:00:00,
06162F0101,18091,0,2.387268,2022-02-11 00:00:00,
06162F0101,00627,14,1.010536,2022-10-24 00:00:00,
06162F0101,00673,430,0.054116,2022-12-28 00:00:00,
06162F0101,00725,23,8.5,2022-12-21 00:00:00,
06162F0101,00750,0,0.318279,2022-10-31 00:00:00,
06162F0101,00794,32,1.498017,2022-12-21 00:00:00,
06162F0101,00900,110,0.07,2021-12-31 10:31:42,
06162F0101,00904,1085,0.135731,2022-12-21 00:00:00,
06162F0101,00910,262,0.35,2021-12-31 10:31:42,
06162F0101,00939,0,3.952912,2022-07-19 00:00:00,
06162F0101,00946,0,1.0,2021-12-31 10:31:42,
06162F0101,00947,239,0.392463,2022-11-28 00:00:00,
06162F0101,19724,0,23.75,2021-12-31 10:31:42,
06162F0101,26869,0,23.75,2021-12-31 10:31:42,
06162F0101,01009,17,8.16232,2022-10-24 00:00:00,
06162F0101,01029,0,0.36225,2022-08-22 00:00:00,
06162F0101,01043,227,0.48396,2022-11-28 00:00:00,
06162F0101,01053,22,2.4,2021-12-31 10:31:42,
06162F0101,01205,82,1.094619,2022-12-21 00:00:00,
06162F0101,01256,0,6.88,2021-12-31 10:31:42,
06162F0101,10355,20,0.420375,2022-12-21 00:00:00,
06162F0101,10363,0,4.13,2021-12-31 10:31:42,
06162F0101,15288,1,0.216,2022-11-30 00:00:00,
06162F0101,15287,1,1.216,2022-11-30 00:00:00,
06162F0101,01378,0,2.4,2021-12-31 10:31:42,
06162F0101,29817,247,7.272476,2022-12-21 00:00:00,
06162F0101,01503,290,0.113896,2022-07-25 00:00:00,
06162F0101,37467,80,7.22,2022-10-24 00:00:00,
06162F0101,15334,0,4.88,2021-12-31 10:31:42,
06162F0101,15336,0,2.66,2021-12-31 10:31:42,
06162F0101,10419,6,1.38,2021-12-31 10:31:42,
06162F0101,01522,3186,0.025913,2022-12-21 00:00:00,
06162F0101,19421,29,0.564108,2022-11-28 00:00:00,
06162F0101,22256,114,0.742927,2022-11-30 00:00:00,
06162F0101,10477,204,0.788562,2022-12-21 00:00:00,
06162F0101,10482,1,0.613024,2022-11-23 00:00:00,
06162F0101,18156,19,1.297463,2022-05-24 00:00:00,
06162F0101,18158,368,1.176017,2022-12-21 00:00:00,
06162F0101,01684,0,0.85,2021-12-31 10:31:42,
06162F0101,01711,1635,0.945124,2022-12-21 00:00:00,
06162F0101,01846,2055,0.16,2022-11-28 00:00:00,
06162F0101,01930,230,0.6,2022-12-26 00:00:00,
06162F0101,01964,569,0.48,2022-12-21 00:00:00,
06162F0101,01958,0,1.25,2022-10-24 00:00:00,
06162F0101,01973,18,1.08,2022-06-29 00:00:00,
06162F0101,02128,984,0.316897,2022-12-29 00:00:00,
06162F0101,02132,29,1.066558,2022-11-28 00:00:00,
06162F0101,02149,6850,0.030628,2022-12-21 00:00:00,
06162F0101,43121,12,104.429348,2022-10-17 00:00:00,
06162F0101,02319,181,0.897824,2022-12-21 00:00:00,
06162F0101,02354,45,0.493387,2022-09-23 00:00:00,
06162F0101,28800,50,11.0,2022-12-21 00:00:00,
06162F0101,19677,20,6.075,2022-10-24 00:00:00,
06162F0101,36691,30,5.63,2021-12-31 10:31:42,
06162F0101,29804,0,87.5,2021-12-31 10:31:42,
06162F0101,02657,158,0.095,2022-11-28 00:00:00,
06162F0101,02654,69,0.026516,2022-10-24 00:00:00,
